Collection Time,Synchronized to Cloud,Collected By,Longitude,Latitude,Confidence,Status
2026-07-01T00:50:33Z,2026-07-01T01:28:07.869Z,1e00000994,140.7661407,42.9041947,71,0
2026-07-01T00:51:33Z,2026-07-01T01:28:07.869Z,1e00000994,140.7652702,42.9033838,56,0
2026-07-01T00:51:36Z,2026-07-01T01:28:07.869Z,1e00000994,140.7652662,42.9033468,72,0
2026-07-01T00:58:11Z,2026-07-01T01:28:07.869Z,1e00000994,140.7651648,42.9042075,183,0
2026-07-01T00:58:34Z,2026-07-01T01:28:07.869Z,1e00000994,140.7648142,42.9042234,67,0
2026-07-01T01:08:56Z,2026-07-01T01:28:07.869Z,1e00000994,140.766182,42.904059,60,0
2026-07-01T01:16:10Z,2026-07-01T01:28:07.869Z,1e00000994,140.7661924,42.90412,56,0
2026-07-01T01:23:52Z,2026-07-01T01:28:07.869Z,1e00000994,140.7665751,42.9041973,89,0
2026-07-01T04:44:12Z,2026-07-01T05:15:08.64Z,1e00000994,140.7677599,42.9046873,92,0
2026-07-01T04:44:14Z,2026-07-01T05:15:08.64Z,1e00000994,140.7677599,42.9046873,92,0
2026-07-01T04:44:58Z,2026-07-01T05:15:08.64Z,1e00000994,140.7677599,42.9046873,92,0
2026-07-01T04:46:12Z,2026-07-01T05:15:08.64Z,1e00000994,140.7661427,42.9058657,92,0
2026-07-01T04:48:31Z,2026-07-01T05:15:08.64Z,1e00000994,140.766268,42.9025924,48,0
2026-07-01T04:52:10Z,2026-07-01T05:15:08.64Z,1e00000994,140.7662681,42.9025925,76,0
2026-07-01T05:04:34Z,2026-07-01T05:15:08.64Z,1e00000994,140.7696127,42.9031982,44,0
2026-07-01T05:08:54Z,2026-07-01T05:15:08.64Z,1e00000994,140.7668098,42.9034815,100,0
2026-07-01T06:34:59Z,2026-07-01T09:01:05.71Z,1e00000994,140.7661659,42.9041843,45,0
2026-07-01T06:35:33Z,2026-07-01T09:01:05.71Z,1e00000994,140.766138,42.9041761,55,0
2026-07-01T06:43:54Z,2026-07-01T09:01:05.71Z,1e00000994,140.7662444,42.9046952,73,0
2026-07-01T06:43:57Z,2026-07-01T09:01:05.71Z,1e00000994,140.7662444,42.9046952,73,0
2026-07-01T06:44:39Z,2026-07-01T09:01:05.71Z,1e00000994,140.7661673,42.904193,33,0
2026-07-01T06:45:31Z,2026-07-01T09:01:05.71Z,1e00000994,140.7662447,42.9046952,67,0
2026-07-01T06:45:33Z,2026-07-01T09:01:05.71Z,1e00000994,140.7662151,42.905343,68,0
2026-07-01T06:50:33Z,2026-07-01T09:01:05.71Z,1e00000994,140.766647,42.9066432,100,0
2026-07-01T10:27:35Z,2026-07-01T12:44:05.09Z,1e00000994,140.7554753,42.9026837,54,0
